frame,price,supplier
742308,5.79,roma
743045,14.18,roma
743308,14.48,roma
745002,10.17,roma
745045,14.18,roma
745046,14.18,roma
745048,14.18,roma
745054,14.76,roma
745058,10.17,roma
745308,14.76,roma
748002,4.58,roma
748013,4.55,roma
748045,4.55,roma
748048,4.55,roma
748052,4.55,roma
748058,4.58,roma
748098,4.55,roma
748099,4.55,roma
806005,3.35,roma
806006,3.35,roma
806054,3.07,roma
806055,3.07,roma
807005,5.67,roma
807006,5.67,roma
807054,5.67,roma
807055,5.67,roma
808005,6.99,roma
808006,6.99,roma
809009,3.07,roma
809045,3.07,roma
809054,3.07,roma
809055,3.07,roma
809085,3.07,roma
815345,2.43,roma
815353,2.43,roma
815385,2.27,roma
815387,2.27,roma
852045,2.99,roma
852047,2.99,roma
852058,2.99,roma
852069,2.99,roma
852086,2.99,roma
853045,4.02,roma
853047,4.02,roma
853058,4.02,roma
853069,4.02,roma
853086,4.02,roma
854048,8.87,roma
854049,8.87,roma
854054,8.87,roma
855045,5.3,roma
855047,5.3,roma
855049,5.01,roma
855054,5.01,roma
855058,5.3,roma
855069,5.3,roma
855086,5.3,roma
856045,9.43,roma
856069,9.43,roma
856086,9.43,roma
857003,5.09,roma
857045,5.09,roma
857047,5.09,roma
857058,5.09,roma
858003,7.59,roma
858045,7.59,roma
858047,7.59,roma
858058,7.59,roma
859003,12.39,roma
859045,12.39,roma
859047,12.39,roma
860032,2.54,roma
860045,2.54,roma
860046,2.54,roma
860047,2.54,roma
860048,2.54,roma
860056,2.54,roma
860069,2.54,roma
860074,2.54,roma
860300,2.54,roma
860308,2.54,roma
861045,8.68,roma
861046,8.68,roma
861056,8.68,roma
861069,8.68,roma
862045,14.43,roma
862069,14.43,roma
865032,1.88,roma
865037,1.88,roma
865041,1.88,roma
865045,1.88,roma
865046,1.88,roma
865047,1.88,roma
865048,1.88,roma
865054,1.88,roma
865069,1.88,roma
865074,1.88,roma
868045,5.97,roma
868046,5.97,roma
868048,5.97,roma
868056,5.97,roma
869045,16.64,roma
869046,16.64,roma
869048,16.64,roma
869056,16.64,roma
892045,8.67,roma
892048,8.67,roma
893045,17.4,roma
893048,17.4,roma
895400,11.19,roma
895405,11.45,roma
895406,11.45,roma
895409,11.46,roma
896011,3.79,roma
896054,3.79,roma
896055,3.79,roma
896056,3.79,roma
896057,3.79,roma
897011,5.11,roma
897054,5.11,roma
897055,5.11,roma
897056,5.11,roma
897057,5.11,roma
930045,5.36,roma
930054,7.02,roma
930055,7.02,roma
930087,5.36,roma
980006,5.59,roma
980054,5.59,roma
980055,5.59,roma
980056,5.59,roma
982006,6.49,roma
982054,6.49,roma
982055,6.49,roma
982056,6.49,roma
984006,3.89,roma
984054,3.89,roma
984055,3.89,roma
984056,3.89,roma
986006,8.12,roma
986054,8.12,roma
986055,8.12,roma
986056,8.12,roma
988006,14.29,roma
988054,14.29,roma
988055,14.29,roma
988056,14.29,roma
1114300,2.39,roma
1114305,2.49,roma
1114306,2.49,roma
1114309,2.39,roma
1114354,2.49,roma
1114355,2.49,roma
1114363,2.49,roma
1532045,3.06,roma
1532048,3.06,roma
1532052,5.66,roma
1532054,5.66,roma
1532055,5.66,roma
1702005,3.56,roma
1702006,3.56,roma
1702007,3.42,roma
1702008,3.42,roma
1702009,3.42,roma
1702049,3.94,roma
1702054,3.94,roma
1702055,3.94,roma
1703005,4.83,roma
1703006,4.83,roma
1703007,4.69,roma
1703008,4.69,roma
1703009,4.69,roma
1703049,5.24,roma
1703054,5.24,roma
1703055,5.24,roma
1704001,4.53,roma
1704009,4.53,roma
1704052,5.09,roma
1704053,5.09,roma
1704054,5.09,roma
1704055,5.09,roma
1705001,5.66,roma
1705009,5.66,roma
1705052,6.79,roma
1705053,6.79,roma
1705054,6.79,roma
1705055,6.79,roma
1706001,9.06,roma
1706009,9.06,roma
1706054,10.94,roma
1706055,10.94,roma
1712049,5.39,roma
1712054,5.39,roma
1712055,5.39,roma
1804001,4.44,roma
1804009,4.44,roma
1804052,5.09,roma
1804053,5.09,roma
1804054,5.09,roma
1804055,5.09,roma
1805001,5.66,roma
1805009,5.66,roma
